EFFECTIVE_DATE,JURISDICTION,PARTY,TERM,micro avg,macro avg,weighted avg,eval_loss,epoch,train_loss
"{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 54}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 134}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 452}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 32}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 672}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 672}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 672}",0.6659095287322998,132,0.6812482476234436
"{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 54}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 134}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 452}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 32}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 672}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 672}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 672}",0.29687732458114624,263,0.2781217694282532
"{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 54}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 134}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 452}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 32}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 672}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 672}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 672}",0.1649239957332611,394,0.19577717781066895
"{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 54}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 134}","{'precision': 1.0, 'recall': 0.0022123893805309734, 'f1-score': 0.004415011037527594, 'support': 452}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 32}","{'precision': 1.0, 'recall': 0.001488095238095238, 'f1-score': 0.002971768202080237, 'support': 672}","{'precision': 0.25, 'recall': 0.0005530973451327434, 'f1-score': 0.0011037527593818985, 'support': 672}","{'precision': 0.6726190476190477, 'recall': 0.001488095238095238, 'f1-score': 0.0029696205192893932, 'support': 672}",0.12896955013275146,525,0.11364667117595673
"{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 54}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 134}","{'precision': 0.8989071038251366, 'recall': 0.7278761061946902, 'f1-score': 0.80440097799511, 'support': 452}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 32}","{'precision': 0.8989071038251366, 'recall': 0.4895833333333333, 'f1-score': 0.6339113680154143, 'support': 672}","{'precision': 0.22472677595628415, 'recall': 0.18196902654867256, 'f1-score': 0.2011002444987775, 'support': 672}","{'precision': 0.6046220400728598, 'recall': 0.4895833333333333, 'f1-score': 0.5410554197229014, 'support': 672}",0.11087248474359512,656,0.0875273272395134
"{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 54}","{'precision': 0.671875, 'recall': 0.6417910447761194, 'f1-score': 0.6564885496183207, 'support': 134}","{'precision': 0.9226666666666666, 'recall': 0.7654867256637168, 'f1-score': 0.8367593712212816, 'support': 452}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 32}","{'precision': 0.8588469184890656, 'recall': 0.6428571428571429, 'f1-score': 0.7353191489361702, 'support': 672}","{'precision': 0.3986354166666667, 'recall': 0.351819442609959, 'f1-score': 0.3733119802099006, 'support': 672}","{'precision': 0.7545782490079365, 'recall': 0.6428571428571429, 'f1-score': 0.6937272342870153, 'support': 672}",0.033201225101947784,787,0.06580094993114471
"{'precision': 1.0, 'recall': 0.07407407407407407, 'f1-score': 0.13793103448275862, 'support': 54}","{'precision': 0.7655172413793103, 'recall': 0.8283582089552238, 'f1-score': 0.7956989247311828, 'support': 134}","{'precision': 0.9175824175824175, 'recall': 0.7389380530973452, 'f1-score': 0.8186274509803921, 'support': 452}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 32}","{'precision': 0.8752436647173489, 'recall': 0.6681547619047619, 'f1-score': 0.7578059071729958, 'support': 672}","{'precision': 0.6707749147404319, 'recall': 0.4103425840316608, 'f1-score': 0.4380643525485834, 'support': 672}","{'precision': 0.8501883379346433, 'recall': 0.6681547619047619, 'f1-score': 0.720374314909501, 'support': 672}",0.03940873593091965,918,0.05112075060606003
"{'precision': 0.625, 'recall': 0.37037037037037035, 'f1-score': 0.4651162790697674, 'support': 54}","{'precision': 0.8854961832061069, 'recall': 0.8656716417910447, 'f1-score': 0.8754716981132075, 'support': 134}","{'precision': 0.907103825136612, 'recall': 0.7345132743362832, 'f1-score': 0.8117359413202935, 'support': 452}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 32}","{'precision': 0.8846880907372401, 'recall': 0.6964285714285714, 'f1-score': 0.7793505412156536, 'support': 672}","{'precision': 0.6044000020856798, 'recall': 0.49263882162442457, 'f1-score': 0.538080979625817, 'support': 672}","{'precision': 0.8369306808204865, 'recall': 0.6964285714285714, 'f1-score': 0.7579376965680206, 'support': 672}",0.03730623796582222,1049,0.037534285336732864
"{'precision': 0.6451612903225806, 'recall': 0.37037037037037035, 'f1-score': 0.4705882352941176, 'support': 54}","{'precision': 0.8582089552238806, 'recall': 0.8582089552238806, 'f1-score': 0.8582089552238806, 'support': 134}","{'precision': 0.9024390243902439, 'recall': 0.8185840707964602, 'f1-score': 0.8584686774941996, 'support': 452}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 32}","{'precision': 0.8782608695652174, 'recall': 0.7514880952380952, 'f1-score': 0.809943865276664, 'support': 672}","{'precision': 0.6014523174841763, 'recall': 0.5117908490976778, 'f1-score': 0.5468164670030495, 'support': 672}","{'precision': 0.829971947472931, 'recall': 0.7514880952380952, 'f1-score': 0.7863684626983045, 'support': 672}",0.06857309490442276,1180,0.023462994024157524
"{'precision': 0.72, 'recall': 0.3333333333333333, 'f1-score': 0.4556962025316456, 'support': 54}","{'precision': 0.888, 'recall': 0.8283582089552238, 'f1-score': 0.8571428571428572, 'support': 134}","{'precision': 0.9029126213592233, 'recall': 0.8230088495575221, 'f1-score': 0.861111111111111, 'support': 452}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 32}","{'precision': 0.891459074733096, 'recall': 0.7455357142857143, 'f1-score': 0.8119935170178282, 'support': 672}","{'precision': 0.6277281553398059, 'recall': 0.4961750979615198, 'f1-score': 0.5434875426964034, 'support': 672}","{'precision': 0.84224479889043, 'recall': 0.7455357142857143, 'f1-score': 0.7867365476429672, 'support': 672}",0.09640730172395706,1311,0.03739575669169426
"{'precision': 0.5121951219512195, 'recall': 0.3888888888888889, 'f1-score': 0.4421052631578948, 'support': 54}","{'precision': 0.8592592592592593, 'recall': 0.8656716417910447, 'f1-score': 0.862453531598513, 'support': 134}","{'precision': 0.9050131926121372, 'recall': 0.7588495575221239, 'f1-score': 0.825511432009627, 'support': 452}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 32}","{'precision': 0.8648648648648649, 'recall': 0.7142857142857143, 'f1-score': 0.78239608801956, 'support': 672}","{'precision': 0.569116893455654, 'recall': 0.5033525220505144, 'f1-score': 0.5325175566915087, 'support': 672}","{'precision': 0.82122803628987, 'recall': 0.7142857142857143, 'f1-score': 0.7627583701087476, 'support': 672}",0.031673673540353775,1442,0.00927034392952919
"{'precision': 0.5510204081632653, 'recall': 0.5, 'f1-score': 0.5242718446601942, 'support': 54}","{'precision': 0.8297872340425532, 'recall': 0.8731343283582089, 'f1-score': 0.850909090909091, 'support': 134}","{'precision': 0.8794326241134752, 'recall': 0.8230088495575221, 'f1-score': 0.8502857142857143, 'support': 452}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 32}","{'precision': 0.8417618270799347, 'recall': 0.7678571428571429, 'f1-score': 0.8031128404669262, 'support': 672}","{'precision': 0.5650600665798234, 'recall': 0.5490357944789328, 'f1-score': 0.5563666624637498, 'support': 672}","{'precision': 0.8012650855681684, 'recall': 0.7678571428571429, 'f1-score': 0.7837226795396006, 'support': 672}",0.05692301318049431,1573,0.011867404915392399
